satellite,raan_deg,tle1,tle2,plane_id
TIANQI-17,54.304,1 64061U 25105D   25283.16309836  .00000077  00000-0  14108-3 0  9997,2 64061  44.9850  54.3040 0009441 279.1459  80.8306 13.99035361 20197,0
TIANQI-18,54.3957,1 64060U 25105C   25283.17954815  .00000079  00000-0  14281-3 0  9994,2 64060  44.9854  54.3957 0009861 285.0467  74.9274 13.99053630 20184,0
TIANQI-20,54.5036,1 64058U 25105A   25283.19907848  .00000113  00000-0  16604-3 0  9997,2 64058  44.9836  54.5036 0010839 274.2466  85.7128 13.99020756 20188,0
TIANQI-16,55.4156,1 64059U 25105B   25282.86054015  .00000077  00000-0  14088-3 0  9993,2 64059  44.9797  55.4156 0010026 275.7104  84.2585 13.99023160 20140,0
TIANQI-07,85.2771,1 54687U 22167F   25283.17286525  .00048322  00000-0  85539-3 0  9996,2 54687  97.6248  85.2771 0003819 242.3594 117.7270 15.50145289157691,0
TIANQI-24,124.9053,1 57792U 23135A   25282.99320537 -.00000060  00000-0  43886-4 0  9991,2 57792  49.9695 124.9053 0013617 103.2022 257.0410 14.22937479109003,1
TIANQI-21,124.9669,1 57793U 23135B   25283.04736453  .00000101  00000-0  11498-3 0  9995,2 57793  49.9657 124.9669 0013746 106.1229 254.1197 14.22943192109008,1
TIANQI-23,125.0537,1 57794U 23135C   25283.01192360  .00000177  00000-0  14835-3 0  9997,2 57794  49.9705 125.0537 0014216 105.7978 254.4502 14.22948007109001,1
TIANQI-22,125.2056,1 57795U 23135D   25283.03014595  .00000396  00000-0  24478-3 0  9990,2 57795  49.9709 125.2056 0014181 106.9994 253.2473 14.22952834109003,1
TIANQI-30,171.6589,1 61195U 24170A   25283.12176029  .00000194  00000-0  22129-3 0  9997,2 61195  44.8553 171.6589 0007394 347.6606  12.4043 13.99020538 53849,2
TIANQI-29,171.8088,1 61196U 24170B   25283.13968494  .00000194  00000-0  22079-3 0  9998,2 61196  44.8576 171.8088 0009257 352.9518   7.1181 13.99020018 54031,2
TIANQI-32,172.0351,1 61197U 24170C   25283.15837361  .00000195  00000-0  22190-3 0  9994,2 61197  44.8605 172.0351 0008913 332.8603  27.1761 13.98989070 53936,2
TIANQI-31,172.4216,1 61198U 24170D   25283.10572133  .00000203  00000-0  22740-3 0  9994,2 61198  44.8590 172.4216 0009241 330.9858  29.0459 13.99036651 49513,2
TIANQI-27,293.7555,1 59911U 24102C   25283.19024589  .00000085  00000-0  14657-3 0  9991,2 59911  44.9780 293.7555 0006391 172.8451 187.2474 13.99046922 69892,3
TIANQI-26,293.8898,1 59912U 24102D   25283.20937589  .00000099  00000-0  15615-3 0  9997,2 59912  44.9779 293.8898 0010732 161.7561 198.3658 13.99041076 69897,3
TIANQI-25,294.1209,1 59910U 24102B   25283.15730937  .00000089  00000-0  14929-3 0  9993,2 59910  44.9727 294.1209 0008926 156.4921 203.6321 13.99058119 69894,3
TIANQI-28,294.3622,1 59909U 24102A   25283.17393601  .00000072  00000-0  13750-3 0  9999,2 59909  44.9763 294.3622 0009936 151.1495 208.9888 13.99049039 69890,3
TIANQI-35,353.7634,1 62368U 24245D   25283.19441813  .00000262  00000-0  26798-3 0  9998,2 62368  44.9861 353.7634 0009756 266.8009  93.1707 13.99057066 41332,4
TIANQI-34,353.8666,1 62367U 24245C   25283.21046174  .00000236  00000-0  25011-3 0  9999,2 62367  44.9867 353.8666 0011521 258.8122 101.1415 13.99068071 41337,4
TIANQI-33,353.8715,1 62366U 24245B   25283.22864968  .00000228  00000-0  24486-3 0  9994,2 62366  44.9810 353.8715 0005823 268.3847  91.6318 13.99063901 41328,4
TIANQI-36,354.0623,1 62365U 24245A   25283.24804708  .00000250  00000-0  25951-3 0  9994,2 62365  44.9843 354.0623 0009046 267.6882  92.2915 13.99084852 41357,5
